========================================
       DATABASE CONTENTS SUMMARY
========================================

[ADMINS] Total: 2
 - ID: 1 | User: admin
 - ID: 2 | User: keerthi

[DRIVERS] Total: 1000
 - First 5 drivers:
   * D001: John Doe
   * D002: Alice Smith
   * D003: Bob Johnson
   * D004: Charlie Brown
   * D005: David Wilson

[DRIVER DATA] Total Data Points: 2174
Time       | DriverID   | Speed    | Accel  | Brake  | Risk  | Pred      
--------------------------------------------------------------------------------
13:20:25   | 222        | 77.4     | 3.8    | 5.6    | 51.0  | MODERATE  
13:20:25   | 170        | 54.8     | 2.1    | 2.9    | 2.0   | SAFE      
13:20:25   | 656        | 65.2     | 5.5    | 4.5    | 53.0  | MODERATE  
13:20:25   | 219        | 113.0    | 9.8    | 9.3    | 79.0  | AGGRESSIVE
13:20:25   | 921        | 63.3     | 4.9    | 3.1    | 36.0  | MODERATE  
13:20:25   | 368        | 42.6     | 1.7    | 1.9    | 21.0  | SAFE      
13:20:25   | 549        | 41.8     | 1.7    | 1.5    | 6.0   | SAFE      
13:20:25   | 431        | 97.1     | 8.2    | 6.7    | 73.0  | AGGRESSIVE
13:20:25   | 138        | 40.1     | 2.1    | 1.2    | 9.0   | SAFE      
13:20:25   | 884        | 50.4     | 1.8    | 1.7    | 23.0  | SAFE      
21:12:29   | 754        | 74.3     | 5.4    | 4.8    | 56.0  | MODERATE  
21:12:29   | 223        | 77.9     | 5.7    | 5.6    | 49.0  | MODERATE  
21:12:29   | 816        | 88.6     | 6.9    | 8.0    | 82.0  | AGGRESSIVE
21:12:29   | 334        | 83.1     | 7.3    | 8.0    | 96.0  | AGGRESSIVE
21:12:29   | 817        | 102.9    | 6.2    | 9.8    | 97.0  | AGGRESSIVE
21:12:29   | 315        | 51.6     | 2.6    | 2.5    | 8.0   | SAFE      
21:12:29   | 695        | 108.5    | 7.5    | 7.5    | 74.0  | AGGRESSIVE
21:12:29   | 160        | 50.9     | 1.9    | 1.7    | 11.0  | SAFE      
21:12:29   | 707        | 61.8     | 4.0    | 3.1    | 53.0  | MODERATE  
21:12:29   | 344        | 116.2    | 9.2    | 7.3    | 85.0  | AGGRESSIVE
21:51:22   | 656        | 71.0     | 5.7    | 3.1    | 50.0  | MODERATE  
21:51:22   | 851        | 60.2     | 5.6    | 4.8    | 32.0  | MODERATE  
21:51:22   | 249        | 77.4     | 3.2    | 4.4    | 63.0  | MODERATE  
21:51:22   | 874        | 66.0     | 4.6    | 4.0    | 66.0  | MODERATE  
21:51:22   | 115        | 57.9     | 1.2    | 1.8    | 6.0   | SAFE      
21:51:22   | 987        | 72.8     | 6.0    | 5.2    | 43.0  | MODERATE  
21:51:22   | 72         | 72.4     | 3.5    | 4.6    | 70.0  | MODERATE  
21:51:22   | 937        | 114.6    | 6.0    | 9.4    | 85.0  | AGGRESSIVE
21:51:22   | 679        | 58.4     | 3.0    | 2.3    | 16.0  | SAFE      
21:51:22   | 530        | 86.9     | 7.1    | 6.6    | 71.0  | AGGRESSIVE
21:51:07   | 684        | 84.3     | 7.8    | 8.3    | 86.0  | AGGRESSIVE
21:51:07   | 774        | 81.9     | 9.2    | 8.3    | 78.0  | AGGRESSIVE
21:51:07   | 366        | 63.5     | 4.0    | 3.7    | 56.0  | MODERATE  
21:51:07   | 930        | 116.8    | 7.9    | 7.3    | 80.0  | AGGRESSIVE
21:51:07   | 773        | 78.6     | 5.9    | 5.7    | 51.0  | MODERATE  
21:51:07   | 870        | 93.7     | 9.8    | 7.0    | 83.0  | AGGRESSIVE
21:51:07   | 899        | 81.5     | 6.3    | 9.8    | 93.0  | AGGRESSIVE
21:51:07   | 5          | 54.5     | 2.4    | 1.2    | 1.0   | SAFE      
21:51:07   | 897        | 107.7    | 9.5    | 9.0    | 80.0  | AGGRESSIVE
21:51:07   | 982        | 43.5     | 2.5    | 2.1    | 27.0  | SAFE      
19:26:39   | 70         | 97.4     | 6.4    | 8.8    | 93.0  | AGGRESSIVE
19:26:39   | 570        | 94.0     | 7.3    | 7.4    | 71.0  | AGGRESSIVE
19:26:39   | 939        | 47.3     | 2.4    | 2.2    | 11.0  | SAFE      
19:26:39   | 247        | 116.8    | 6.9    | 9.8    | 92.0  | AGGRESSIVE
19:26:39   | 363        | 92.4     | 9.8    | 8.8    | 73.0  | AGGRESSIVE
19:26:39   | 736        | 50.6     | 1.1    | 2.1    | 8.0   | SAFE      
19:26:39   | 21         | 97.1     | 8.1    | 7.9    | 79.0  | AGGRESSIVE
19:26:39   | 307        | 60.6     | 5.1    | 4.5    | 48.0  | MODERATE  
19:26:39   | 470        | 63.4     | 3.5    | 4.1    | 67.0  | MODERATE  
19:26:39   | 551        | 40.2     | 2.0    | 2.6    | 23.0  | SAFE      
